67 Ikaroa-Rāwhiti,Total Party Votes,"KUPENGA, Waitangi (Advance NZ)","KEREKERE, Elizabeth Anne (Green Party)","WHAITIRI, Melissa Heni Mekameka (Labour Party)","SKIPWORTH, Heather (Māori Party)","HILL, Melissa Lee-Ann (New Conservative)","THURSTON, Kelly (NZ Outdoors Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,223,4.04,8.07,28.25,33.18,8.52,12.11,3.59,2.24,100.00
Advance NZ,638,78.68,2.66,2.35,11.60,1.10,0.31,1.25,2.04,100.00
Aotearoa Legalise Cannabis Party,486,3.09,17.08,40.12,26.95,1.03,2.88,3.91,4.94,100.00
Green Party,1647,0.36,34.12,26.78,35.64,0.18,0.49,0.79,1.64,100.00
HeartlandNZ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,17111,0.68,6.63,67.63,20.57,0.19,0.34,2.08,1.88,100.00
Māori Party,3089,0.68,3.14,16.77,75.79,0.03,0.10,1.46,2.04,100.00
National Party,593,5.56,7.59,13.32,43.68,11.80,5.40,10.79,1.85,100.00
New Conservative,96,1.04,3.12,11.46,7.29,70.83,1.04,1.04,4.17,100.00
New Zealand First Party,956,3.45,5.54,50.10,33.58,1.57,1.88,2.41,1.46,100.00
NZ Outdoors Party,44,0.00,6.82,22.73,13.64,0.00,45.45,9.09,2.27,100.00
ONE Party,164,17.68,6.10,16.46,32.32,9.76,1.83,13.41,2.44,100.00
Social Credit,3,33.33,33.33,0.00,0.00,0.00,33.33,0.00,0.00,100.00
Sustainable New Zealand Party,6,0.00,33.33,0.00,66.67,0.00,0.00,0.00,0.00,100.00
TEA Party,6,0.00,0.00,16.67,16.67,0.00,33.33,16.67,16.67,100.00
The Opportunities Party (TOP),189,1.59,19.58,26.46,45.50,3.17,2.65,0.00,1.06,100.00
Vision New Zealand,161,7.45,3.11,19.25,52.17,1.24,1.24,13.04,2.48,100.00
Informal Party Votes,472,1.91,2.12,31.78,10.59,0.00,0.00,49.79,3.81,100.00
Total Party Votes and Percentages,25884,3.06,8.04,52.70,29.35,0.95,0.76,3.17,1.98,100.00
