07 Coromandel,Total Party Votes,"OLSEN, David Edward (ACT New Zealand)","BRLJEVICH, Philip Anthony (Advance NZ)","GREALEY, Pamela Margaret (Green Party)","BLOMFIELD, Nathaniel James (Labour Party)","WESSEX, Roberta (NAP)","SIMPSON, Scott Anthony (National Party)","EGLETON, Michael John (New Conservative)","HART, Steven Lawrence (NZ Outdoors Party)","HUNTER, Robert Graham (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4602,18.58,0.37,0.89,3.02,0.04,74.47,0.54,0.89,0.26,0.59,0.35,100.00
Advance NZ,733,0.41,83.22,1.91,3.14,0.00,5.87,1.23,1.50,0.27,1.50,0.95,100.00
Aotearoa Legalise Cannabis Party,171,2.92,2.92,22.22,38.60,1.17,8.77,2.34,9.94,2.92,6.43,1.75,100.00
Green Party,2658,0.41,0.49,44.09,44.32,0.04,6.47,0.34,1.09,1.54,0.71,0.49,100.00
HeartlandNZ,14,7.14,0.00,0.00,21.43,0.00,57.14,0.00,7.14,0.00,7.14,0.00,100.00
Labour Party,20568,0.86,0.35,9.07,74.76,0.04,11.36,0.26,0.53,0.57,1.56,0.65,100.00
Māori Party,116,0.86,2.59,17.24,31.90,0.00,28.45,1.72,1.72,1.72,6.90,6.90,100.00
National Party,15471,2.77,0.30,0.40,0.64,0.07,92.98,1.16,0.25,0.08,1.03,0.30,100.00
New Conservative,772,0.65,2.46,0.52,2.07,0.00,18.01,72.93,1.30,0.13,1.68,0.26,100.00
New Zealand First Party,1429,4.34,2.80,4.55,41.08,0.42,32.26,4.48,3.57,1.54,4.48,0.49,100.00
NZ Outdoors Party,120,0.00,4.17,0.83,7.50,0.00,9.17,0.00,75.83,0.83,0.83,0.83,100.00
ONE Party,103,0.97,16.50,1.94,7.77,0.00,25.24,34.95,1.94,0.97,9.71,0.00,100.00
Social Credit,15,6.67,6.67,26.67,13.33,0.00,6.67,0.00,26.67,0.00,13.33,0.00,100.00
Sustainable New Zealand Party,30,3.33,0.00,26.67,26.67,0.00,20.00,0.00,13.33,6.67,3.33,0.00,100.00
TEA Party,6,0.00,0.00,0.00,16.67,0.00,33.33,0.00,0.00,33.33,16.67,0.00,100.00
The Opportunities Party (TOP),401,1.25,0.75,8.73,18.95,0.50,16.96,1.25,1.50,48.63,0.25,1.25,100.00
Vision New Zealand,18,5.56,0.00,5.56,5.56,0.00,27.78,5.56,11.11,0.00,38.89,0.00,100.00
Informal Party Votes,369,0.81,1.08,6.50,22.49,0.00,21.68,1.08,1.63,0.27,43.36,1.08,100.00
Total Party Votes and Percentages,47596,3.28,1.80,7.05,37.22,0.07,44.58,2.01,0.89,0.88,1.72,0.52,100.00
