71 Te Tai Tonga,Total Party Votes,"THOMS, Matthew Wade (Advance NZ)","McDONALD, Anituhia Rebel (Aotearoa Legalise Cannabis Party)","PARETUTANGANUI-TAMATI, Ariana (Green Party)","TIRIKATENE, Rino (Labour Party)","FERRIS, Romaine Sydney Roland (Māori Party)","TUHAKA, Raymond Allan (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,822,7.30,11.07,4.87,25.91,31.75,10.22,7.30,1.58,100.00
Advance NZ,635,79.84,2.52,2.05,2.83,8.35,0.47,1.10,2.83,100.00
Aotearoa Legalise Cannabis Party,631,0.79,62.60,4.12,18.54,5.23,0.32,2.85,5.55,100.00
Green Party,3448,0.58,2.15,37.04,26.42,30.83,0.12,0.73,2.15,100.00
HeartlandNZ,7,14.29,0.00,0.00,28.57,28.57,14.29,14.29,0.00,100.00
Labour Party,17543,0.74,4.65,8.96,65.85,15.72,0.32,1.50,2.26,100.00
Māori Party,2596,0.85,2.35,3.20,15.87,74.42,0.35,1.12,1.85,100.00
National Party,1685,6.77,7.60,6.65,15.91,39.29,13.00,8.90,1.90,100.00
New Conservative,208,3.85,1.92,0.48,12.50,6.25,70.67,2.40,1.92,100.00
New Zealand First Party,1030,3.88,6.21,5.53,45.73,29.90,4.17,2.43,2.14,100.00
NZ Outdoors Party,58,12.07,22.41,12.07,20.69,27.59,5.17,0.00,0.00,100.00
ONE Party,98,14.29,3.06,2.04,14.29,37.76,10.20,12.24,6.12,100.00
Social Credit,7,28.57,0.00,14.29,28.57,14.29,0.00,14.29,0.00,100.00
Sustainable New Zealand Party,15,0.00,6.67,53.33,13.33,20.00,6.67,0.00,0.00,100.00
TEA Party,5,0.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,100.00
The Opportunities Party (TOP),547,2.93,6.03,20.66,30.16,35.65,1.83,1.46,1.28,100.00
Vision New Zealand,130,12.31,4.62,2.31,7.69,42.31,7.69,19.23,3.85,100.00
Informal Party Votes,417,0.72,6.24,2.16,19.42,7.19,0.48,59.71,4.08,100.00
Total Party Votes and Percentages,29882,3.23,5.80,11.12,47.78,24.84,2.03,2.94,2.27,100.00
