72 Waiariki,Total Party Votes,"WILLIAMS, Ema (Advance NZ)","COFFEY, Tamati Gerald (Labour Party)","WAITITI, Rawiri Wikuki (Māori Party)","BROUGHTON, Riki Wayne (New Conservative)","TEKOWHAI, Rawiri (NZ Outdoors Party)","TAMAKI, Hannah Radclavina Hurangi (Vision New Zealand)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,257,9.73,23.35,39.69,6.61,10.12,3.11,6.23,1.17,100.00
Advance NZ,733,67.94,2.18,19.92,0.14,1.09,5.18,1.09,2.46,100.00
Aotearoa Legalise Cannabis Party,421,3.09,34.68,40.14,1.43,6.89,5.46,3.09,5.23,100.00
Green Party,1622,0.80,32.86,59.43,0.06,2.84,1.17,0.62,2.22,100.00
HeartlandNZ,1,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,16552,0.47,59.21,34.10,0.16,0.95,1.78,1.33,2.00,100.00
Māori Party,4843,0.66,6.22,88.02,0.02,0.95,1.49,1.01,1.63,100.00
National Party,651,5.53,18.13,47.77,8.29,4.92,4.76,8.45,2.15,100.00
New Conservative,105,3.81,4.76,15.24,58.10,0.95,10.48,3.81,2.86,100.00
New Zealand First Party,1001,2.00,36.86,46.45,1.80,2.30,4.90,3.70,2.00,100.00
NZ Outdoors Party,67,1.49,11.94,20.90,0.00,59.70,2.99,0.00,2.99,100.00
ONE Party,142,6.34,9.15,26.76,2.11,3.52,46.48,1.41,4.23,100.00
Social Credit,4,25.00,25.00,0.00,0.00,25.00,25.00,0.00,0.00,100.00
Sustainable New Zealand Party,4,0.00,25.00,25.00,0.00,25.00,0.00,0.00,25.00,100.00
TEA Party,7,0.00,0.00,42.86,14.29,28.57,14.29,0.00,0.00,100.00
The Opportunities Party (TOP),246,0.81,32.11,54.07,1.63,3.25,4.07,2.03,2.03,100.00
Vision New Zealand,626,0.64,3.19,6.71,0.00,0.00,84.19,2.72,2.56,100.00
Informal Party Votes,417,2.88,19.66,18.47,0.96,0.72,4.32,48.68,4.32,100.00
Total Party Votes and Percentages,27699,2.70,41.71,44.73,0.71,1.55,4.23,2.31,2.07,100.00
