08 Dunedin,Total Party Votes,"STEELE-MACINTOSH, Callum Anthony (ACT New Zealand)","BRAZIL, Jack Mackie (Green Party)","CLARK, David Scott (Labour Party)","WOODHOUSE, Michael Allan (National Party)","KING, Solomon Matthew (New Conservative)","GRIFFITH, Robert Paul Dewi (New Zealand First Party)","ANJAIYA-WINDER, Zariah Shaleen (Social Credit)","PETERS, Benjamin Arthur (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2423,27.90,1.49,8.09,55.34,0.87,0.58,0.25,3.51,1.49,0.50,100.00
Advance NZ,213,6.57,12.68,9.86,18.31,17.84,3.76,9.39,8.92,11.74,0.94,100.00
Aotearoa Legalise Cannabis Party,112,6.25,25.00,33.93,9.82,3.57,3.57,2.68,7.14,2.68,5.36,100.00
Green Party,8165,0.13,37.95,52.69,1.65,0.05,0.32,0.38,5.96,0.53,0.33,100.00
HeartlandNZ,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,25377,1.27,13.51,73.50,4.43,0.21,1.23,0.29,3.37,1.59,0.62,100.00
Māori Party,151,1.99,29.14,32.45,9.93,3.97,5.30,1.32,8.61,1.32,5.96,100.00
National Party,6477,3.74,1.47,4.00,85.75,0.90,0.57,0.09,1.67,1.14,0.68,100.00
New Conservative,415,0.48,0.24,2.41,25.78,65.54,2.17,0.24,2.65,0.24,0.24,100.00
New Zealand First Party,978,1.64,2.66,32.82,14.83,2.25,38.65,1.02,3.78,1.74,0.61,100.00
NZ Outdoors Party,35,5.71,20.00,20.00,8.57,2.86,0.00,11.43,17.14,14.29,0.00,100.00
ONE Party,61,0.00,3.28,24.59,27.87,26.23,3.28,4.92,8.20,1.64,0.00,100.00
Social Credit,57,1.75,1.75,21.05,5.26,1.75,5.26,49.12,8.77,3.51,1.75,100.00
Sustainable New Zealand Party,42,7.14,21.43,9.52,38.10,2.38,4.76,2.38,7.14,7.14,0.00,100.00
TEA Party,8,0.00,12.50,12.50,0.00,12.50,25.00,0.00,25.00,12.50,0.00,100.00
The Opportunities Party (TOP),1291,0.62,8.13,16.89,6.89,0.54,0.62,0.39,64.76,0.39,0.77,100.00
Vision New Zealand,9,0.00,0.00,22.22,22.22,11.11,11.11,11.11,0.00,22.22,0.00,100.00
Informal Party Votes,189,0.53,3.17,17.99,10.05,0.00,2.12,0.00,0.53,62.96,2.65,100.00
Total Party Votes and Percentages,46003,2.84,15.03,52.47,18.74,1.10,1.78,0.42,5.39,1.61,0.61,100.00
