09 East Coast,Total Party Votes,"WEBB, Blake Neil (ACT New Zealand)","BROWN, Jennie Elizabeth Michelle (Advance NZ)","AKUHATA-BROWN, Meredith Jane Waimaria (Green Party)","ALLAN, Kiri Lyndsay (Labour Party)","TAPSELL, Tania (National Party)","NICKERSON, Helena Elizabeth (New Conservative)","KING, Veronica Diane (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3305,20.48,0.45,0.57,7.20,69.77,0.33,0.12,0.70,0.36,100.00
Advance NZ,734,0.41,79.29,2.45,2.72,10.22,0.41,0.95,0.82,2.72,100.00
Aotearoa Legalise Cannabis Party,183,5.46,4.37,24.59,42.62,8.74,0.00,0.55,6.01,7.65,100.00
Green Party,2351,0.30,0.38,25.22,67.33,5.06,0.04,0.21,0.60,0.85,100.00
HeartlandNZ,5,0.00,0.00,20.00,80.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,21412,0.98,0.42,5.32,84.57,5.21,0.15,0.12,1.67,1.56,100.00
Māori Party,320,1.56,3.75,21.25,48.75,14.06,0.94,0.94,4.38,4.38,100.00
National Party,11452,2.93,0.26,0.49,1.39,92.83,0.41,0.07,1.21,0.41,100.00
New Conservative,463,0.86,1.73,0.86,3.89,38.23,49.46,3.46,1.08,0.43,100.00
New Zealand First Party,1462,3.83,2.74,3.83,51.85,26.68,2.53,1.30,6.43,0.82,100.00
NZ Outdoors Party,55,16.36,16.36,3.64,30.91,25.45,3.64,0.00,1.82,1.82,100.00
ONE Party,217,0.46,1.38,0.92,2.30,12.44,0.46,77.88,1.38,2.76,100.00
Social Credit,13,7.69,15.38,7.69,46.15,15.38,0.00,0.00,0.00,7.69,100.00
Sustainable New Zealand Party,9,22.22,0.00,11.11,11.11,55.56,0.00,0.00,0.00,0.00,100.00
TEA Party,6,0.00,0.00,33.33,16.67,33.33,0.00,0.00,16.67,0.00,100.00
The Opportunities Party (TOP),387,5.17,2.07,14.73,46.51,26.61,1.55,1.29,0.78,1.29,100.00
Vision New Zealand,109,2.75,10.09,10.09,27.52,16.51,4.59,9.17,16.51,2.75,100.00
Informal Party Votes,288,0.69,1.39,5.21,19.79,15.28,0.69,0.69,52.08,4.17,100.00
Total Party Votes and Percentages,42771,3.14,1.95,4.89,50.08,35.28,0.89,0.64,1.96,1.17,100.00
