Club,P,Column1,Column2,Column3,/Match,FH ,SH ,H ,A,W,D,L
Bay of Plenty,11,6,1,-,0.55,3 (50%),3 (50%),4 (67%),2 (33%),6,-,5
Counties Manukau,10,5,-,-,0.5,3 (60%),2 (40%),0 (0%),5 (100%),3,-,7
Manawatu,10,5,-,-,0.5,2 (40%),3 (60%),0 (0%),5 (100%),1,-,9
Northland,12,5,1,-,0.42,3 (60%),2 (40%),3 (60%),2 (40%),6,-,6
Auckland,12,4,-,-,0.33,2 (50%),2 (50%),1 (25%),3 (75%),8,-,4
canterbury,10,3,-,-,0.3,2 (67%),1 (33%),2 (67%),1 (33%),5,-,5
Otago,11,3,2,-,0.27,0 (0%),3 (100%),3 (100%),0 (0%),6,-,5
Hawkes Bay,12,3,-,-,0.25,0 (0%),3 (100%),1 (33%),2 (67%),9,-,3
North Harbour,10,3,-,-,0.3,1 (33%),2 (67%),0 (0%),3 (100%),5,-,5
Wellington,10,2,-,-,0.2,0 (0%),2 (100%),2 (100%),0 (0%),5,-,5
Taranaki,11,2,-,-,0.18,0 (0%),2 (100%),0 (0%),2 (100%),4,-,7
Waikato,11,2,-,-,0.18,2 (100%),0 (0%),1 (50%),1 (50%),6,-,5
Southland,10,2,-,-,0.2,1 (50%),1 (50%),0 (0%),2 (100%),3,-,7
Tasman,12,2,-,-,0.17,0 (0%),2 (100%),0 (0%),2 (100%),9,-,3
,,,,,,,,,,,,
