electorate,party,party_vote,candidate,candidate_vote,votes_counted,total_votes
Auckland Central ,The Opportunities Party (TOP),524,"DELAMERE, Tuariki",211,100.0,26509
Auckland Central ,TEA Party,24,"HOFFMAN DERVAN, Dominic",33,100.0,26509
Auckland Central ,,,"LOVE, Joshua",43,100.0,26509
Auckland Central ,New Zealand First Party,455,"MARCROFT, Jenny",175,100.0,26509
Auckland Central ,National Party,5780,"MELLOW, Emma",7566,100.0,26509
Auckland Central ,ACT New Zealand,2080,"POOLE, Felix",371,100.0,26509
Auckland Central ,,,"SADLER, Chris",12,100.0,26509
Auckland Central ,New Conservative,135,"STITT, Kevin",121,100.0,26509
Auckland Central ,Green Party,5137,"SWARBRICK, Chlöe",9060,100.0,26509
Auckland Central ,Sustainable New Zealand Party,43,"TAVA, Vernon",87,100.0,26509
Auckland Central ,Labour Party,11958,"WHITE, Helen",8568,100.0,26509
Auckland Central ,Advance NZ,135,,,100.0,26509
Auckland Central ,Aotearoa Legalise Cannabis Party,43,,,100.0,26509
Auckland Central ,HeartlandNZ,0,,,100.0,26509
Auckland Central ,Māori Party,55,,,100.0,26509
Auckland Central ,NZ Outdoors Party,10,,,100.0,26509
Auckland Central ,ONE Party,14,,,100.0,26509
Auckland Central ,Social Credit,5,,,100.0,26509
Auckland Central ,Vision New Zealand,6,,,100.0,26509
Banks Peninsula ,The Opportunities Party (TOP),859,"ATKINSON, Ben",1224,100.0,42681
Banks Peninsula ,National Party,9166,"CHU, Catherine",10834,100.0,42681
Banks Peninsula ,ACT New Zealand,3031,"FOX, David",1440,100.0,42681
Banks Peninsula ,New Conservative,547,"HONISS, Caleb",531,100.0,42681
Banks Peninsula ,Labour Party,21302,"McLELLAN, Tracey Lee",22038,100.0,42681
Banks Peninsula ,New Zealand First Party,857,"O'ROURKE, Denis",572,100.0,42681
Banks Peninsula ,Green Party,6022,"SAGE, Eugenie",5040,100.0,42681
Banks Peninsula ,,,"WILLIAMS, Tiamara",386,100.0,42681
Banks Peninsula ,Advance NZ,328,,,100.0,42681
